order,MAPE,MAE,MSE,RMSE,R2
"(15, 1, 1, 15)",3.5293725036668313,0.5239843517334289,0.4252271208154392,0.6520944109677979,-1.3354264268028015
"(30, 1, 1, 15)",4.098529385013048,0.6095435885191076,0.541340500408014,0.7357584524883244,-1.849887695633214
"(60, 1, 1, 15)",2.693187728375944,0.4052026567218044,0.25831434317022955,0.508246341029849,0.2400105700939975
"(90, 1, 1, 15)",2.664721455418587,0.3976708101203252,0.26096720632700426,0.5108494947898101,-0.03651698447897411
"(15, 1, 2, 15)",2.962214749207012,0.44046163477620326,0.31793289725262136,0.563855386825932,-0.386356183509186
"(30, 1, 2, 15)",2.7441932064356545,0.40823145822292495,0.27641468504234795,0.5257515430717707,-0.20923670398749716
"(60, 1, 2, 15)",2.686286076941343,0.4040931812512113,0.25759937828774293,0.5075424891452369,0.24047229469999243
"(90, 1, 2, 15)",6.614986754627167,1.0094520957237338,1.4137770304985382,1.1890235617928429,-5.400422390232909
"(15, 1, 1, 30)",14.461166190083603,2.2334577156488384,5.651950547040841,2.3773831300488446,-7.894076045091657
"(30, 1, 1, 30)",13.103294586789954,2.0200492439978595,4.768185006747511,2.1836174130894612,-6.713838905766429
"(60, 1, 1, 30)",6.618310304831615,1.0204782396185332,1.4962853732777532,1.2232274413524875,-0.11290043255994076
"(90, 1, 1, 30)",6.186183141472801,0.9554924123445827,1.317024512060337,1.147616883833772,0.10889063051120651
"(15, 1, 2, 30)",9.177152709831287,1.4064098646051126,2.5535041433344596,1.597968755431238,-2.528584507983353
"(30, 1, 2, 30)",7.881669103049649,1.2079181580045473,1.9711233547938345,1.4039670063052887,-1.3201426584001474
"(60, 1, 2, 30)",6.640822845988003,1.0237932312485278,1.503275008591275,1.2260811590556617,-0.13086547433163864
"(90, 1, 2, 30)",11.116790658810217,1.770386179037765,4.5112011839013935,2.1239588470357407,-2.4916888012603713
"(15, 1, 1, 60)",14.931370013963111,2.346550509374937,6.748105684851899,2.597711624651955,-3.9434022604491634
"(30, 1, 1, 60)",10.011648828739386,1.5722757899418336,3.3675064109559107,1.835076677132569,-0.9834192217110898
"(60, 1, 1, 60)",9.10833879523539,1.4825840057487036,3.288403507302804,1.813395573862141,0.12498407821246249
"(90, 1, 1, 60)",14.874769621056078,2.4368573567571143,8.62752084386096,2.9372641767231222,-2.6717038402077833
"(15, 1, 2, 60)",8.375828926936943,1.3429039529719962,2.704084895577286,1.6444101968722056,0.12115788142514206
"(30, 1, 2, 60)",8.289214804676313,1.3440132333619856,2.763107785715819,1.6622598430196822,0.25798449528109324
"(60, 1, 2, 60)",9.096547851480121,1.4807435939557159,3.281437564032095,1.8114738651253282,0.12804174350476516
"(90, 1, 2, 60)",14.936282551490981,2.4470436315800503,8.66431016718898,2.9435200300301982,-2.7195378555784453
"(15, 1, 1, 90)",38.64530396855269,6.424531852416725,49.159228171426385,7.01136421614413,-5.213997396618787
"(30, 1, 1, 90)",36.51281910399714,6.052680267747319,44.35615572874942,6.660041721246904,-4.484243804261191
"(60, 1, 1, 90)",37.455209268725824,6.217529192685108,46.48865293472483,6.818258790536249,-4.715288839363228
"(90, 1, 1, 90)",23.322008519727145,3.971867407675554,22.91568890520814,4.787033413838694,-0.16028285911046392
"(15, 1, 2, 90)",37.87955154885183,6.291109122192438,47.42322314783574,6.886452145178658,-4.8720190717029634
"(30, 1, 2, 90)",37.81612420594242,6.2802421430800965,47.291697630356175,6.876895929876806,-4.829387973747786
"(60, 1, 2, 90)",37.391692889360314,6.206461443978609,46.34567471147523,6.807765765027116,-4.695438716296
"(90, 1, 2, 90)",22.890606250623208,3.9188321917116884,22.53975971856087,4.74760568271638,-0.01763450433874869
